#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
92,Sweet Gale,Myrica gale,"leaves, nutlets","raw, soups, cooking",Grows in thickets and moist areas at low elevations,,"This plant should not be consumed by pregnant women, since it can induce abortions.",,
93,Sweetflag,Acorus spp.,"rhizome, young shoots, young spadix","raw, boiled, roasted","Grows in marshes, quiet water, wet, open areas",varieties in the Pacific Northwest include American sweetflag (Acorus americanus),Plant is an effective insect repellent.,,
94,Thimbleberry,Rubus parviflorus,Berries,,"Stems are woody and lack prickles, berries are thin, bland, clustered 2-7",,,,
95,Thistle,Cirsium spp.,"roots, stems, leaves, immature flowerheads","raw (roots), boiled, roasted, dried and ground to flour; steamed (flowerheads)","Grows in plains, foothills, montane, subalpine regions","Canada/creeping thistle (Cirsium arvense), Bull thistle (Cirsium vulgare), Indian thistle (Cirsium brevistylum), Hooker's thistle (Cirsium hookerianum), Leafy thistle (Cirsium foliosum)","Eat in moderation, some thistles are carcinogenic",,
96,Tiger Lily,Lilium columbianum,"flowers, seeds, bulbs",raw; boiled in several changes of water (bulbs),"Grows in foothill, montane, and subalpine slopes",,none,,
97,Trailing Blackberry,Rubus ursinus,Berries,,"Plant is a shin-high shrub or a vine, berries are sour to sweet, clustered 1-3.",Look-alikes in British Columbia\nA number of other species of Rubus produce blackberries that are similar in appearance but differ in being shrubs rather than creeping vines.,,,
98,Violet,Viola ssp.,Whole plant,raw,"Grows in plains, foothills, montane, subalpine regions","Early blue violet (Viola adunca), Canada violet (Viola canadensis), Wild pansy (Viola tricolor), Marsh violet (Viola palustris)",none,,
99,Watercress,Rorippa nasturtium-aquaticum,Whole plant,raw; dried for storage,Found in calm water,none,do not eat plants from sites with polluted water,,
100,Wild Bergamot,Monarda fistulosa,Leaves,cooked as potherb; dried and sprinkled on meat,"Grows in open plains, foothill, montane regions",none,none,,
101,Wild Licorice,Glycyrrhiza lepidota,rhizome,"raw; traditionally roasted in coals, pounded to remove fibers","Found near water in moist, well-drained sites in plains and foothills",large amounts consumed over time are toxic,none,,
102,Wild Mint,Mentha spp.,Leaves,"raw; powdered leaves used to improve flavor, repel insects","Grows in moist areas in plains, foothills, montane regions","Wild mint (Mentha arvensis), Spearmint (Mentha spicata), Peppermint (Mentha piperita)",none,,
103,Wild Rose,,"rose petals, buds, young shoots, young leaves, fruit (hip)",hips can be eaten fresh or dried for storage,"Grows in plains, foothill, montane, and subalpine regions","Arkansas rose (Rosa arkansana), Prickly wild rose (Rosa acicularis), Prairie rose (Rosa woodsii), Baldhip rose (Rosa gymnocarpa), Nootka rose (Rosa nutkana)","Only the outer shell of the rosehip is edible, discard the mass of hard, hairy seeds",,
104,Wood Lily,Lilium philadelphicum,"Flowers, Seeds, Bulbs","flowers, seeds and bulbs are edible raw., bulbs are best when boiled in two changes of water, though still bitter/peppery. cooked bulbs can be dried whole or mashed and dried for storage.","Grows in grows in moist areas in plains, foothills, and montane regions.",,,,
105,Woodsorrel,Oxalis spp.,"Leaves, Flowers",leaves and flowers are safer and tastier when cooked.,Grows in disturbed sites.,"Varieties in the Pacific Northwest include Creeping woodsorrel (Oxalis corniculata), Stoloniferous woodsorrel (Oxalis dillenii) and Upright woodsorrel (Oxalis stricta).","The raw leaves and raw flowers contain oxalic acid, which can cause nutritional deficiency in high doses.",,
106,Yellow Glacier-lily,Erythronium grandiflorum,"Bulbs, Leaves, Seedpods","bulbs are edible raw. leaves are edible raw. fresh green seed pods can be cooked, taste like string beans. bulbs are best after long slow cooking, which turns them chocolate brown. bulbs can be dried for storage after cooking. dried bulbs are soaked and then boiled or steamed.","Grows in moist areas with rich soil in montane, subalpine, and alpine regions.",,"Bulbs can cause burning sensation, too many can cause vomiting.",Lily,
107,Yellowcress,Rorippa palustris,Whole plant,"Edible raw, tastes like peppery lettuce or radishes. can be dried for storage.","Grows in muddly areas in plains, foothills and montane regions.",,Never eat plants from sites with polluted water.,,
108,Giant Hogweed,Heracleum mantegazzianum,None,,,,"The clear watery sap of giant hogweed contains toxins that can cause severe dermatitis (inflammation of the skin). Ultraviolet radiation activates compounds in the sap, resulting in severe burns when exposed to the sun. Symptoms occur within 48 hours and consist of painful blisters. Purplish scars may form that can last for many years. Eye contact with the sap has been reported to cause temporary or permanent blindness, though this has not been confirmed",,"Height: Huge, up to 5 m tall. Leaves have deeply serrated edges; can be 1 m wide; stiff hairs underneath. Stems have a reddish or purple blotches; stiff white hairs."
109,Wild Chervil,Anthriscus sylvestris,,,,,INVASIVE,Poison hemlock,"Leaves: Fern-like with soft hairs; leaf stems have a C-shaped ""mid-groove"" cross-section. Stems have a ribbed; green, sometimes purple at the joints (but never blotchy)."
110,"Poison
hemlock",Conium maculatum,None,,,,"Toxic sap can cause
burns, blisters, and
scarring. All plant parts
are toxic",,"Leaves: Triangular, fern-like appearance. Stems: Smooth and hairless; distinct reddish or purple spots/blotches. Flowers: Rounded, umbrella-shaped white clusters in April/May."
110,"Queen
Anne’s lace",Daucus carota ,The root,"Roots can be eaten raw or cooked like a small, tough carrot",,,"INVASIVE, Can cause skin irritation
",Water hemlock,"Leaves: Triangular and fern-like; covered in soft hairs. Stems: Green and ribbed; very fuzzy/hairy Flowers: Dense, flat-topped white clusters; usually has a single tiny black/dark dot in the center."
111,"Water hemlock",Cicuta maculata,None,,,,"Toxic sap can cause burns, blisters, and scarring. All plant parts are toxic",,"Leaves: Separated leaflets; stiff hairs on the undersides. Stems: Green with reddish or purple lengthwise streaks; stiff white hairs. Roots: Distinctly thickened, tuberous, and bulbous."
112,Yellow flag iris,Iris pseudacorus,None,,,,"Skin Irritation: The sap contains resinous compounds that can cause severe skin irritation or dermatitis upon contact. All parts of the plant are toxic. If ingested, it can cause severe gastrointestinal distress (nausea, vomiting, diarrhea). And irritation of the mouth and digestive tract.
",,Shoots exhibit distinct purple coloring at the base. Leaves form a clear fan-shape at the base of the plant. Leaves are flat and have a visible ridge running down the middle. Stems are almond-shaped and often have a purple hue. Yellow flowers with three upright and three drooping sepals/petals; typically flowers in early June.
113,Paddy Straw Mushroom,Volvariella volvacea,,,,,Do not confuse with Death Cap Mushroom. Paddy straws are not native to BC,Death Cap Mushroom,"Pinkish gills, no ring on the stem, grows in warm climates (not native to BC)."
